,date,petrol_price,oilaud
1,14-10-2017,124.86,65.22511097
2,15-10-2017,124.5,65.22511097
3,16-10-2017,123.95,65.98803919
4,17-10-2017,122.97,66.21983914
5,18-10-2017,121.95,66.40724675
6,19-10-2017,120.65,65.10535669
7,20-10-2017,121.95,66.0906298
8,21-10-2017,125.32,66.0906298
9,22-10-2017,130.58,66.0906298
10,23-10-2017,138.88,66.49161009
11,24-10-2017,141.78,67.24935733
12,25-10-2017,141.89,67.54613985
13,26-10-2017,141.77,68.17117586
14,27-10-2017,141.49,70.39164491
15,28-10-2017,141.2,70.39164491
16,29-10-2017,140.98,70.39164491
17,30-10-2017,140.39,70.47408179
18,31-10-2017,138.97,70.89201878
19,01-11-2017,138.08,70.76602397
20,02-11-2017,136.4,70.64232064
21,03-11-2017,134.94,72.71895425
22,04-11-2017,133.51,72.71895425
23,05-11-2017,132.7,72.71895425
24,06-11-2017,131.99,74.72957122
25,07-11-2017,131.3,74.88542621
26,08-11-2017,130.27,74.01328644
27,09-11-2017,128.9,74.54355764
28,10-11-2017,126.79,74.00886802
29,11-11-2017,127.01,74.00886802
30,12-11-2017,130.2,74.00886802
31,13-11-2017,134.49,74.48176332
32,14-11-2017,146.35,72.98112218
33,15-11-2017,148.68,72.96726505
34,16-11-2017,149.2,72.64822134
35,17-11-2017,149.29,74.32235885
36,18-11-2017,149.21,74.32235885
37,19-11-2017,149.13,74.32235885
38,20-11-2017,148.95,74.44047146
39,21-11-2017,148.1,74.96702717
40,22-11-2017,148.29,76.24818864
41,23-11-2017,147.77,76.24818864
42,24-11-2017,147.01,77.3592335
43,25-11-2017,146.01,77.3592335
44,26-11-2017,145.11,77.3592335
45,27-11-2017,143.97,76.39710717
46,28-11-2017,142.93,76.09294998
47,29-11-2017,141.19,75.60750132
48,30-11-2017,140.58,75.80559958
49,01-12-2017,136.49,76.53462749
50,02-12-2017,136.4,76.53462749
51,03-12-2017,136.15,76.53462749
52,04-12-2017,134.98,75.65148723
53,05-12-2017,132.76,75.80857218
54,06-12-2017,129.72,73.74752148
55,07-12-2017,128.87,75.07307999
56,08-12-2017,129.94,76.12894632
57,09-12-2017,136.78,76.12894632
58,10-12-2017,146.95,76.12894632
59,11-12-2017,148.98,76.71087533
60,12-12-2017,149.12,75.65562914
61,13-12-2017,148.9,74.41157133
62,14-12-2017,148.9,74.29614181
63,15-12-2017,148.68,74.92806696
64,16-12-2017,148.59,74.92806696
65,17-12-2017,148.22,74.92806696
66,18-12-2017,147.92,74.48859935
67,19-12-2017,147.43,75.13068479
68,20-12-2017,146.36,75.70702463
69,21-12-2017,145.86,75.73672595
70,22-12-2017,144.98,75.52184623
71,23-12-2017,144.31,75.52184623
72,24-12-2017,143.87,75.52184623
73,25-12-2017,143.02,75.52184623
74,26-12-2017,142.77,77.05745342
75,27-12-2017,143.21,76.77560473
76,28-12-2017,142.98,76.78686
77,29-12-2017,142.4,77.36404351
78,30-12-2017,141.92,77.36404351
79,31-12-2017,141.39,77.36404351
80,01-01-2018,140.12,77.36404351
81,02-01-2018,139.51,77.16002045
82,03-01-2018,137.98,78.58418367
83,04-01-2018,137.04,78.89511202
84,05-01-2018,136.49,78.24150655
85,06-01-2018,135.82,78.24150655
86,07-01-2018,135.42,78.24150655
87,08-01-2018,134.93,78.75733606
88,09-01-2018,133.83,80.43978522
89,10-01-2018,132.31,81.11210305
90,11-01-2018,131.32,80.9258085
91,12-01-2018,130.3,81.43545524
92,13-01-2018,129.53,81.43545524
93,14-01-2018,129.29,81.43545524
94,15-01-2018,128.97,81.43545524
95,16-01-2018,128.81,80.19602915
96,17-01-2018,129,80.08018041
97,18-01-2018,129.96,80.02001752
98,19-01-2018,135.98,79.21509811
99,20-01-2018,145.14,79.21509811
100,21-01-2018,148.67,79.21509811
101,22-01-2018,149.13,79.53523238
102,23-01-2018,148.8,80.7239479
103,24-01-2018,148.88,81.44061493
104,25-01-2018,148.57,81.12251205
105,26-01-2018,147.51,81.764343
106,27-01-2018,146.89,81.764343
107,28-01-2018,146.22,81.764343
108,29-01-2018,145.84,81.23377426
109,30-01-2018,144.71,80.03962358
110,31-01-2018,142.94,80.33213533
111,01-02-2018,141.61,82.11260588
112,02-02-2018,139.95,82.60814731
113,03-02-2018,138.71,82.60814731
114,04-02-2018,138.2,82.60814731
115,05-02-2018,137.13,80.97400959
116,06-02-2018,135.5,80.58905675
117,07-02-2018,133.77,78.94669727
118,08-02-2018,131.95,78.7007318
119,09-02-2018,130.77,75.80996286
120,10-02-2018,129.23,75.80996286
121,11-02-2018,128.12,75.80996286
122,12-02-2018,127.12,75.81674324
123,13-02-2018,126.32,75.51228204
124,14-02-2018,125.96,77.09894576
125,15-02-2018,125.14,77.70475228
126,16-02-2018,125.05,78.09463722
127,17-02-2018,127.96,78.09463722
128,18-02-2018,134.12,78.09463722
129,19-02-2018,143.79,78.09463722
130,20-02-2018,148.59,78.33734025
131,21-02-2018,148.78,78.80760883
132,22-02-2018,149.22,79.89808917
133,23-02-2018,149.14,81.15497636
134,24-02-2018,148.95,81.15497636
135,25-02-2018,148.95,81.15497636
136,26-02-2018,148.5,81.35917379
137,27-02-2018,147.94,80.65094823
138,28-02-2018,146.89,78.74631458
139,01-03-2018,146.29,78.56222623
140,02-03-2018,144.95,78.91410885
141,03-03-2018,143.41,78.91410885
142,04-03-2018,142.33,78.91410885
143,05-03-2018,140.33,80.53872922
144,06-03-2018,138.6,79.95397597
145,07-03-2018,136.49,78.36069779
146,08-03-2018,135.72,77.21844099
147,09-03-2018,134.9,79.01643521
148,10-03-2018,134,79.01643521
149,11-03-2018,133.74,79.01643521
150,12-03-2018,132.16,78.01373347
151,13-03-2018,129.95,77.00799391
152,14-03-2018,127.95,77.30100292
153,15-03-2018,125.97,78.24974411
154,16-03-2018,125.01,80.55088581
155,17-03-2018,124.88,80.55088581
156,18-03-2018,124.97,80.55088581
157,19-03-2018,124.82,80.48020766
158,20-03-2018,126.22,82.39500715
159,21-03-2018,129.51,84.45770628
160,22-03-2018,136.58,83.48492723
161,23-03-2018,145.91,85.22212149
162,24-03-2018,148.96,85.22212149
163,25-03-2018,149.22,85.22212149
164,26-03-2018,148.88,84.75475605
165,27-03-2018,148.38,84.50174938
166,28-03-2018,147.53,83.7130582
167,29-03-2018,146.89,84.55422315
168,30-03-2018,146.49,84.35630689
169,31-03-2018,146.3,84.35630689
170,01-04-2018,145.88,84.35630689
171,02-04-2018,145.4,82.33220162
172,03-04-2018,144.78,82.62965859
173,04-04-2018,143.88,82.26204389
174,05-04-2018,142.79,82.63527575
175,06-04-2018,141.9,80.72618428
176,07-04-2018,141.39,80.72618428
177,08-04-2018,140.81,80.72618428
178,09-04-2018,140.19,82.2522055
179,10-04-2018,139.3,84.35970111
180,11-04-2018,138.9,86.03992273
181,12-04-2018,138.6,86.46383911
182,13-04-2018,138.3,86.70185376
183,14-04-2018,137.88,86.70185376
184,15-04-2018,137.58,86.70185376
185,16-04-2018,137.41,85.16137328
186,17-04-2018,137.01,85.60762101
187,18-04-2018,137.59,87.92394656
188,19-04-2018,139.89,88.11766224
189,20-04-2018,144.58,88.98448703
190,21-04-2018,150.6,88.98448703
191,22-04-2018,154.29,88.98448703
192,23-04-2018,154.42,88.79695298
193,24-04-2018,154.42,89.04974993
194,25-04-2018,154.5,89.95898928
195,26-04-2018,154.3,90.18518519
196,27-04-2018,153.98,90.02114724
197,28-04-2018,153.51,90.02114724
198,29-04-2018,153.08,90.02114724
199,30-04-2018,152.59,90.89221795
200,01-05-2018,151.9,89.85042735
201,02-05-2018,150.81,90.53459539
202,03-05-2018,150.28,91.10874484
203,04-05-2018,148.58,92.52720998
204,05-05-2018,147.9,92.52720998
205,06-05-2018,147.31,92.52720998
206,07-05-2018,146.7,93.9941536
207,08-05-2018,145.8,92.4513096
208,09-05-2018,144.92,95.43991416
209,10-05-2018,144.48,94.95675316
210,11-05-2018,143.82,93.70360551
211,12-05-2018,143.27,93.70360551
212,13-05-2018,142.48,93.70360551
213,14-05-2018,141.63,94.00317712
214,15-05-2018,141,95.41259864
215,16-05-2018,140,95.18923241
216,17-05-2018,139.84,95.19179542
217,18-05-2018,141.47,94.83424311
218,19-05-2018,148.99,94.83424311
219,20-05-2018,153.53,94.83424311
220,21-05-2018,156.94,95.51883675
221,22-05-2018,159.28,94.91770902
222,23-05-2018,159.43,95.36766658
223,24-05-2018,159.28,93.52451434
224,25-05-2018,159.12,89.86504366
225,26-05-2018,158.9,89.86504366
226,27-05-2018,158.51,89.86504366
227,28-05-2018,157.99,89.86504366
228,29-05-2018,157.47,88.90071866
229,30-05-2018,156.81,90.09770267
230,31-05-2018,156.17,88.48084544
231,01-06-2018,154.99,86.98123183
232,02-06-2018,154.31,86.98123183
233,03-06-2018,153.87,86.98123183
234,04-06-2018,152.93,84.67573222
235,05-06-2018,152.31,86.12937155
236,06-06-2018,151.01,84.34284226
237,07-06-2018,150.27,86.44823067
238,08-06-2018,148.88,86.52808841
239,09-06-2018,148.02,86.52808841
240,10-06-2018,147.59,86.52808841
241,11-06-2018,146.91,86.79096639
242,12-06-2018,146.01,87.26173261
243,13-06-2018,144.56,87.62493425
244,14-06-2018,143.53,89.04711206
245,15-06-2018,142.3,87.20321932
